time(UTC),T2m ,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060103:2100,23.59,87.2,320.0,668.49,84.0,-5.0,3.93,280.0,101572.0
20060103:2200,23.43,86.2,125.0,444.61,52.0,-8.8,3.52,279.0,101592.0
20060103:2300,23.37,86.9,0.0,-0.0,0.0,-1.6,3.52,281.0,101622.0
20060104:0000,23.34,87.45,0.0,-0.0,0.0,1.0,3.52,285.0,101652.0
20060104:0100,23.32,88.05,0.0,-0.0,0.0,362.85,3.38,286.0,101632.0
20060104:0200,23.34,88.5,0.0,-0.0,0.0,5.6,3.31,283.0,101692.0
20060104:0300,23.3,88.8,0.0,-0.0,0.0,-2.4,3.45,275.0,101662.0
20060104:0400,23.28,89.1,0.0,-0.0,0.0,4.8,3.72,271.0,101682.0
20060104:0500,23.21,89.55,0.0,-0.0,0.0,-1.35,3.93,276.0,101632.0
20060104:0600,23.11,90.15,0.0,-0.0,0.0,12.0,4.41,289.0,101612.0
20060104:0700,22.78,92.3,0.0,-0.0,0.0,5.6,5.03,310.0,101602.0
20060104:0800,22.3,94.5,0.0,-0.0,0.0,-5.4,6.0,334.0,101582.0
20060104:0900,21.79,93.35,0.0,-0.0,0.0,11.2,6.83,355.0,101582.0
20060104:1000,21.62,87.9,0.0,-0.0,0.0,-14.4,6.83,7.0,101592.0
20060104:1100,21.45,81.0,0.0,-0.0,0.0,-11.4,6.28,12.0,101632.0
20060104:1200,21.33,75.9,0.0,-0.0,0.0,-8.6,5.72,15.0,101652.0
20060104:1300,21.16,72.1,110.0,382.55,51.0,-17.4,5.31,16.0,101722.0
20060104:1400,20.96,70.55,314.0,672.96,82.0,-7.4,5.1,18.0,101752.0
20060104:1500,20.78,70.1,500.0,800.68,99.0,-4.8,4.9,20.0,101802.0
20060104:1600,20.61,69.7,637.0,862.99,109.0,-4.6,4.83,19.0,101792.0
20060104:1700,20.48,69.25,712.0,892.28,114.0,-2.4,4.55,15.0,101682.0
20060104:1800,20.38,68.8,717.0,895.92,115.0,-2.6,4.14,11.0,101592.0
20060104:1900,20.35,68.15,651.0,875.28,111.0,-6.0,3.66,6.0,101512.0
20060104:2000,20.4,67.4,521.0,821.28,103.0,-2.6,3.24,356.0,101492.0
20060104:2100,20.44,67.05,339.0,709.16,87.0,-1.4,3.17,346.0,101502.0
20060104:2200,20.51,65.85,135.0,486.26,54.0,-1.2,3.31,334.0,101552.0
20060104:2300,20.48,67.25,0.0,-0.0,0.0,-0.15,3.93,328.0,101612.0
20060105:0000,20.44,68.5,0.0,-0.0,0.0,0.35,4.62,324.0,101632.0
